player_name,player_id,pa,avg_bat_speed,hard_hit_pct,barrel_pct,bb_pct,contact_pct,avg,obp,slg,iso
Colt Keith,690993,556,71.3,35.3,5.6,6.5,78.5,0.26,0.309,0.38,0.12
Lars Nootbaar,663457,405,72.6,49.5,9.9,12.8,84.0,0.244,0.342,0.417,0.172
Mike Yastrzemski,573262,474,70.9,41.0,10.5,8.0,76.2,0.231,0.302,0.437,0.206
David Hamilton,666152,317,68.9,32.2,5.6,6.9,77.2,0.248,0.303,0.395,0.146
J.P. Crawford,641487,451,71.9,37.8,6.5,11.5,82.6,0.202,0.304,0.321,0.12
Jesús Sánchez,660821,537,75.2,51.3,12.2,7.6,71.6,0.252,0.313,0.417,0.166
Randal Grichuk,545341,279,73.7,47.6,11.0,7.2,81.8,0.291,0.348,0.528,0.236
Bo Naylor,666310,389,70.6,37.7,8.1,7.5,73.6,0.201,0.264,0.35,0.15
Ryan O'Hearn,656811,494,72.4,40.1,6.9,9.3,84.1,0.264,0.334,0.427,0.163
Blake Perkins,663368,434,69.4,37.7,3.9,9.7,75.2,0.24,0.316,0.332,0.091
Ryan Jeffers,680777,465,72.9,33.8,8.3,6.9,78.2,0.226,0.3,0.432,0.206
Spencer Steer,668715,656,71.6,39.9,6.4,11.0,79.0,0.225,0.319,0.402,0.178
Michael Massey,686681,356,70.9,36.9,7.1,4.2,83.9,0.259,0.294,0.449,0.19
Sal Frelick,686217,524,66.3,19.5,0.8,7.4,88.4,0.259,0.32,0.335,0.076
Vinnie Pasquantino,686469,554,71.7,46.5,7.1,7.2,87.5,0.262,0.315,0.446,0.183
Kyle Isbel,664728,426,70.7,36.3,3.9,6.3,83.1,0.229,0.287,0.367,0.138
Luis Rengifo,650859,304,69.7,32.5,2.5,5.3,79.1,0.3,0.347,0.417,0.117
Trevor Larnach,663616,400,72.8,45.1,10.1,10.0,73.8,0.259,0.338,0.434,0.175
Gavin Lux,666158,487,71.2,41.1,6.0,9.0,79.2,0.251,0.32,0.383,0.132
Jake Burger,669394,579,74.7,46.8,12.3,5.4,71.5,0.25,0.301,0.46,0.209
Ryan Mountcastle,663624,507,75.1,45.2,8.8,5.3,77.1,0.271,0.308,0.425,0.154
Kevin Newman,621028,311,67.6,23.4,1.6,4.8,84.3,0.278,0.311,0.375,0.097
Zack Gelof,680869,547,71.6,37.2,8.8,6.9,65.3,0.211,0.27,0.362,0.151
